,Time,S1,S2,S3,group,mean,sd,group2
A1,0,0.04013,0.03575,0.03835,B. lon4,0.03807,0.0018,B. lon4
A2,2,0.03542,0.0445,0.04113,B. lon4,0.04035,0.00375,B. lon4
A3,4,0.06652,0.05899,0.05879,B. lon4,0.06143,0.0036,B. lon4
A4,6,0.10321,0.09994,0.09611,B. lon4,0.09975,0.0029,B. lon4
A5,8,0.33543,0.26132,0.28624,B. lon4,0.29433,0.03079,B. lon4
A6,10,0.57956,0.49015,0.52649,B. lon4,0.53207,0.03672,B. lon4
A7,12,0.74975,0.83074,0.67187,B. lon4,0.75079,0.06486,B. lon4
A8,14,0.90018,0.93122,0.92628,B. lon4,0.91923,0.01362,B. lon4
A9,16,1.1666,1.25216,1.04832,B. lon4,1.15569,0.08357,B. lon4
A10,18,1.34237,1.02665,1.33769,B. lon4,1.23557,0.14774,B. lon4
A11,20,1.323,1.33133,1.34153,B. lon4,1.33195,0.00758,B. lon4
A12,22,1.33022,1.35179,1.34225,B. lon4,1.34142,0.00883,B. lon4
A13,24,1.34892,1.32542,1.35696,B. lon4,1.34377,0.01338,B. lon4
A14,0,0.00576,0.00972,0.00477,B. lon70,0.00675,0.00214,B. lon70
A15,2,0.00576,0.02109,0.0201,B. lon70,0.01565,0.00701,B. lon70
A16,4,0.03643,0.05028,0.05226,B. lon70,0.04632,0.00704,B. lon70
A17,6,0.15563,0.17938,0.15118,B. lon70,0.16206,0.01238,B. lon70
A18,8,0.33696,0.32105,0.36383,B. lon70,0.34061,0.01766,B. lon70
A19,10,0.51058,0.5551,0.56607,B. lon70,0.54392,0.02399,B. lon70
A20,12,0.65406,0.75794,0.88077,B. lon70,0.76426,0.09266,B. lon70
A21,14,0.95084,0.94804,0.80587,B. lon70,0.90158,0.06769,B. lon70
A22,16,0.98009,1.0816,1.16478,B. lon70,1.07549,0.07552,B. lon70
A23,18,1.3421,1.17126,1.18975,B. lon70,1.23437,0.07655,B. lon70
A24,20,1.20813,1.31423,1.49069,B. lon70,1.33768,0.11654,B. lon70
A25,22,1.15813,1.46423,1.44069,B. lon70,1.35435,0.13908,B. lon70
A26,24,1.41566,1.17894,1.48976,B. lon70,1.36145,0.13255,B. lon70
A27,0,0.01328,0.00987,0.01072,B. lon8,0.01129,0.00145,B. lon8
A28,2,0.08393,0.04655,0.11109,B. lon8,0.08052,0.02646,B. lon8
A29,4,0.16328,0.14229,0.14513,B. lon8,0.15023,0.0093,B. lon8
A30,6,0.2071,0.24667,0.2688,B. lon8,0.24086,0.02552,B. lon8
A31,8,0.43244,0.51145,0.40237,B. lon8,0.44875,0.046,B. lon8
A32,10,0.77049,0.66728,0.65831,B. lon8,0.69869,0.0509,B. lon8
A33,12,0.94389,0.83331,1.04197,B. lon8,0.93973,0.08524,B. lon8
A34,14,1.22563,1.06537,1.15512,B. lon8,1.14871,0.06558,B. lon8
A35,16,1.22563,1.16794,1.39093,B. lon8,1.2615,0.0945,B. lon8
A36,18,1.26794,1.55119,1.33268,B. lon8,1.38394,0.12118,B. lon8
A37,20,1.38498,1.41832,1.40165,B. lon8,1.40165,0.01361,B. lon8
A38,22,1.52518,1.54313,1.42839,B. lon8,1.4989,0.0504,B. lon8
A39,24,1.57845,1.50153,1.48614,B. lon8,1.52204,0.04038,B. lon8
A40,0,0.05837,0.05607,0.05837,B. lon39,0.0576,0.00108,B. lon39
A41,2,0.06487,0.05837,0.0599,B. lon39,0.06105,0.00278,B. lon39
A42,4,0.08132,0.06985,0.08362,B. lon39,0.07826,0.00602,B. lon39
A43,6,0.13871,0.12073,0.12685,B. lon39,0.12876,0.00746,B. lon39
A44,8,0.30322,0.27988,0.27835,B. lon39,0.28715,0.01138,B. lon39
A45,10,0.60967,0.51785,0.57523,B. lon39,0.56758,0.03787,B. lon39
A46,12,0.80814,0.67563,0.77162,B. lon39,0.75179,0.05588,B. lon39
A47,14,1.04779,1.05126,0.95458,B. lon39,1.01788,0.04478,B. lon39
A48,16,1.22344,1.2057,1.10762,B. lon39,1.17892,0.05093,B. lon39
A49,18,1.36238,1.26396,1.29456,B. lon39,1.30697,0.04113,B. lon39
A50,20,1.39193,1.27991,1.40986,B. lon39,1.36057,0.0575,B. lon39
A51,22,1.43711,1.44172,1.27702,B. lon39,1.38528,0.07658,B. lon39
A52,24,1.43167,1.3972,1.37541,B. lon39,1.40143,0.02316,B. lon39
A53,0,0.01941,0.01908,0.01875,B. lon6,0.01908,0.00027,B. lon6
A54,2,0.03057,0.02557,0.02208,B. lon6,0.02607,0.00348,B. lon6
A55,4,0.04139,0.03157,0.03123,B. lon6,0.03473,0.00471,B. lon6
A56,6,0.08618,0.07436,0.07353,B. lon6,0.07802,0.00578,B. lon6
A57,8,0.22437,0.18092,0.1984,B. lon6,0.20123,0.01785,B. lon6
A58,10,0.36157,0.34159,0.29164,B. lon6,0.3316,0.02941,B. lon6
A59,12,0.54016,0.50386,0.67246,B. lon6,0.57216,0.07245,B. lon6
A60,14,0.70819,0.67313,0.84116,B. lon6,0.74082,0.07238,B. lon6
A61,16,0.82354,0.98191,1.09397,B. lon6,0.96647,0.11094,B. lon6
A62,18,1.17764,1.0894,1.20145,B. lon6,1.15617,0.0482,B. lon6
A63,20,1.23173,1.35504,1.18085,B. lon6,1.25587,0.07313,B. lon6
A64,22,1.33173,1.25504,1.18085,B. lon6,1.25587,0.0616,B. lon6
A65,24,1.2849,1.20054,1.24893,B. lon6,1.24479,0.03456,B. lon6
