,value,group,value2,index
A1,27.59,4M1,4M1,Acetic acid
A2,23.26,4M1,4M1,Acetic acid
A3,25.51,4M1,4M1,Acetic acid
A4,25.86,4M1,4M1,Acetic acid
A5,26.34,4M1,4M1,Acetic acid
A6,31.59,70M6,70M6,Acetic acid
A7,27.26,70M6,70M6,Acetic acid
A8,29.51,70M6,70M6,Acetic acid
A9,29.86,70M6,70M6,Acetic acid
A10,30.34,70M6,70M6,Acetic acid
A11,14.59,6M4,6M4,Acetic acid
A12,19.26,6M4,6M4,Acetic acid
A13,21.51,6M4,6M4,Acetic acid
A14,21.86,6M4,6M4,Acetic acid
A15,18.6,6M4,6M4,Acetic acid
A16,19.59,39M4,39M4,Acetic acid
A17,15.26,39M4,39M4,Acetic acid
A18,17.51,39M4,39M4,Acetic acid
A19,17.86,39M4,39M4,Acetic acid
A20,18.34,39M4,39M4,Acetic acid
A21,25.59,8M1,8M1,Acetic acid
A22,27.26,8M1,8M1,Acetic acid
A23,23.51,8M1,8M1,Acetic acid
A24,33.59,8M1,8M1,Acetic acid
A25,24.34,8M1,8M1,Acetic acid
A26,5.47,4M1,4M1,Propionic acid 
A27,4.81,4M1,4M1,Propionic acid 
A28,5.79,4M1,4M1,Propionic acid 
A29,6.82,4M1,4M1,Propionic acid 
A30,4.37,4M1,4M1,Propionic acid 
A31,7.14,70M6,70M6,Propionic acid 
A32,4.69,70M6,70M6,Propionic acid 
A33,6.52,70M6,70M6,Propionic acid 
A34,5.29,70M6,70M6,Propionic acid 
A35,6.59,70M6,70M6,Propionic acid 
A36,5.26,6M4,6M4,Propionic acid 
A37,3.89,6M4,6M4,Propionic acid 
A38,4.32,6M4,6M4,Propionic acid 
A39,6.43,6M4,6M4,Propionic acid 
A40,4.75,6M4,6M4,Propionic acid 
A41,5.34,39M4,39M4,Propionic acid 
A42,4.71,39M4,39M4,Propionic acid 
A43,3.74,39M4,39M4,Propionic acid 
A44,5.69,39M4,39M4,Propionic acid 
A45,6.81,39M4,39M4,Propionic acid 
A46,5.34,8M1,8M1,Propionic acid 
A47,4.71,8M1,8M1,Propionic acid 
A48,3.74,8M1,8M1,Propionic acid 
A49,5.69,8M1,8M1,Propionic acid 
A50,6.81,8M1,8M1,Propionic acid 
A51,4.63,4M1,4M1,Butyric acid
A52,5.23,4M1,4M1,Butyric acid
A53,6.02,4M1,4M1,Butyric acid
A54,5.12,4M1,4M1,Butyric acid
A55,4.06,4M1,4M1,Butyric acid
A56,5.16,70M6,70M6,Butyric acid
A57,4.36,70M6,70M6,Butyric acid
A58,5.36,70M6,70M6,Butyric acid
A59,4.77,70M6,70M6,Butyric acid
A60,3.91,70M6,70M6,Butyric acid
A61,4.12,6M4,6M4,Butyric acid
A62,5.03,6M4,6M4,Butyric acid
A63,4.9,6M4,6M4,Butyric acid
A64,4.56,6M4,6M4,Butyric acid
A65,4.82,6M4,6M4,Butyric acid
A66,4.53,39M4,39M4,Butyric acid
A67,4.14,39M4,39M4,Butyric acid
A68,5.23,39M4,39M4,Butyric acid
A69,4.58,39M4,39M4,Butyric acid
A70,4.66,39M4,39M4,Butyric acid
A71,4.71,8M1,8M1,Butyric acid
A72,3.51,8M1,8M1,Butyric acid
A73,5.29,8M1,8M1,Butyric acid
A74,4.83,8M1,8M1,Butyric acid
A75,5.19,8M1,8M1,Butyric acid
A76,1.216678,4M1,4M1,Isobutyric acid
A77,0.914644,4M1,4M1,Isobutyric acid
A78,1.305306,4M1,4M1,Isobutyric acid
A79,1.029677,4M1,4M1,Isobutyric acid
A80,1.276607,4M1,4M1,Isobutyric acid
A81,1.352203,70M6,70M6,Isobutyric acid
A82,1.419031,70M6,70M6,Isobutyric acid
A83,1.432637,70M6,70M6,Isobutyric acid
A84,1.682786,70M6,70M6,Isobutyric acid
A85,1.077072,70M6,70M6,Isobutyric acid
A86,1.200034,6M4,6M4,Isobutyric acid
A87,1.144999,6M4,6M4,Isobutyric acid
A88,1.30151,6M4,6M4,Isobutyric acid
A89,1.035615,6M4,6M4,Isobutyric acid
A90,1.294763,6M4,6M4,Isobutyric acid
A91,1.309518,39M4,39M4,Isobutyric acid
A92,1.162972,39M4,39M4,Isobutyric acid
A93,1.162727,39M4,39M4,Isobutyric acid
A94,1.405614,39M4,39M4,Isobutyric acid
A95,1.663064,39M4,39M4,Isobutyric acid
A96,1.257,8M1,8M1,Isobutyric acid
A97,1.15653,8M1,8M1,Isobutyric acid
A98,1.627884,8M1,8M1,Isobutyric acid
A99,1.319257,8M1,8M1,Isobutyric acid
A100,1.644591,8M1,8M1,Isobutyric acid
A101,1.147063,4M1,4M1,Pentanoic acid
A102,1.053088,4M1,4M1,Pentanoic acid
A103,1.225009,4M1,4M1,Pentanoic acid
A104,1.261207,4M1,4M1,Pentanoic acid
A105,0.9913,4M1,4M1,Pentanoic acid
A106,1.1318,70M6,70M6,Pentanoic acid
A107,1.133859,70M6,70M6,Pentanoic acid
A108,1.292874,70M6,70M6,Pentanoic acid
A109,1.21266,70M6,70M6,Pentanoic acid
A110,1.152456,70M6,70M6,Pentanoic acid
A111,1.258877,6M4,6M4,Pentanoic acid
A112,1.089,6M4,6M4,Pentanoic acid
A113,1.310513,6M4,6M4,Pentanoic acid
A114,1.183136,6M4,6M4,Pentanoic acid
A115,0.970544,6M4,6M4,Pentanoic acid
A116,1.168125,39M4,39M4,Pentanoic acid
A117,0.871769,39M4,39M4,Pentanoic acid
A118,1.068234,39M4,39M4,Pentanoic acid
A119,1.191801,39M4,39M4,Pentanoic acid
A120,0.94553,39M4,39M4,Pentanoic acid
A121,1.019624,8M1,8M1,Pentanoic acid
A122,1.253417,8M1,8M1,Pentanoic acid
A123,1.217218,8M1,8M1,Pentanoic acid
A124,1.11885,8M1,8M1,Pentanoic acid
A125,1.198272,8M1,8M1,Pentanoic acid
