Time,Score,Group,Group1
T1,3.219562785,L6T1,L6
T1,3.333963285,L6T1,L6
T1,3.19351195,L6T1,L6
T1,3.659034362,L6T1,L6
T1,3.978994228,L6T1,L6
T1,3.872829519,L6T1,L6
T1,3.863888918,L6T1,L6
T1,3.235591062,L6T1,L6
T1,3.289943734,L6T1,L6
T1,3.099885312,L6T1,L6
T1,3.7094043,L6T1,L6
T1,3.874539449,L6T1,L6
T1,3.916173751,L6T1,L6
T1,3.561940408,L6T1,L6
T1,3.358238556,L6T1,L6
T1,3.966955144,L6T1,L6
T0,2.963066867,L6T0,L6
T0,3.216703619,L6T0,L6
T0,3.646708508,L6T0,L6
T0,3.168605307,L6T0,L6
T0,3.160179706,L6T0,L6
T0,3.770437394,L6T0,L6
T0,2.519263438,L6T0,L6
T0,3.830908659,L6T0,L6
T0,3.005006245,L6T0,L6
T0,2.801416746,L6T0,L6
T0,2.790812051,L6T0,L6
T0,3.538983958,L6T0,L6
T0,3.80099399,L6T0,L6
T0,2.548305868,L6T0,L6
T0,3.263678431,L6T0,L6
T0,3.5368091,L6T0,L6
T0,3.742084369,L6T0,L6
T1,3.859919984,8M1T1,8M1
T1,3.968187715,8M1T1,8M1
T1,3.122189,8M1T1,8M1
T1,3.649292011,8M1T1,8M1
T1,3.208049885,8M1T1,8M1
T1,3.123728192,8M1T1,8M1
T1,3.948340577,8M1T1,8M1
T1,3.72943371,8M1T1,8M1
T1,3.965208759,8M1T1,8M1
T1,3.102670685,8M1T1,8M1
T1,3.580087268,8M1T1,8M1
T1,2.982198392,8M1T1,8M1
T0,2.984278367,8M1T0,8M1
T0,2.921845081,8M1T0,8M1
T0,3.568225199,8M1T0,8M1
T0,3.346861115,8M1T0,8M1
T0,3.208771252,8M1T0,8M1
T0,2.88164025,8M1T0,8M1
T0,2.922231212,8M1T0,8M1
T0,3.243807681,8M1T0,8M1
T0,3.203943786,8M1T0,8M1
T0,3.491563384,8M1T0,8M1
T0,2.702948968,8M1T0,8M1
T0,3.09202093,8M1T0,8M1
T1,2.998050862,6M4T1,6M4
T1,3.09836922,6M4T1,6M4
T1,3.523578698,6M4T1,6M4
T1,3.179385165,6M4T1,6M4
T1,2.918381092,6M4T1,6M4
T1,3.645397704,6M4T1,6M4
T1,3.184038363,6M4T1,6M4
T1,3.388513976,6M4T1,6M4
T1,3.828873769,6M4T1,6M4
T1,3.095432639,6M4T1,6M4
T1,3.226252331,6M4T1,6M4
T1,3.044079745,6M4T1,6M4
T0,3.503753787,6M4T0,6M4
T0,3.608613419,6M4T0,6M4
T0,2.645193271,6M4T0,6M4
T0,3.552584147,6M4T0,6M4
T0,3.44738086,6M4T0,6M4
T0,2.917270181,6M4T0,6M4
T0,3.238642409,6M4T0,6M4
T0,3.155620513,6M4T0,6M4
T0,2.781892461,6M4T0,6M4
T0,2.679876496,6M4T0,6M4
T0,3.444346978,6M4T0,6M4
T0,3.013195475,6M4T0,6M4
T0,3.506662081,6M4T0,6M4
